,WCAG Issues — 113 Issues,,,,,,,,,,,
,Total: 113   |   ✅ Fixed: 104   |   ⏳ Pending (Helpjuice): 9,,,,,,,,,,,
Deque Status,Issue ID,Status,Summary,Impact,WCAG Checkpoint,Standards,URL,Rule ID,Issue Status,Test Unit,Innovaccer Comment,Deque Validation Status
Not Fixed,2354495,Fixed,Required ARIA attributes must be provided,Critical,4.1 Compatible,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/admin/overview,aria-required-attr,Open,Admin Overview,Fixed,Not Fixed
Fixed,2354496,Fixed,Form elements must have labels,Critical,4.1 Compatible,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/admin/overview,label,Open,Admin Overview,,Fixed
Fixed,2354577,Fixed,Text should not be marked as a heading,Serious,1.3 Adaptable,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/admin/overview,semantic-heading-misused,Open,Admin Overview,,Fixed
Not Fixed,2354578,Fixed,Visual heading text is not marked as heading,Serious,1.3 Adaptable,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/admin/overview,semantic-heading,Open,Admin Overview,Deque,Not Fixed
Fixed,2354580,Fixed,Programmatic label does not convey purpose of control,Serious,2.4 Navigable,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/admin/overview,label-programmatic-not-descriptive,Open,Admin Overview,,Fixed
Fixed,2354581,Fixed,State: Expand/collapse state of the element is missing or incorrect,Serious,4.1 Compatible,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/admin/overview,state-aria-expanded-missing-incorrect,Open,Admin Overview,,Fixed
Not Fixed,2354582,Fixed,Role: The element's role is missing or incorrect,Critical,4.1 Compatible,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/admin/overview,aria-role-missing,Open,Admin Overview,Fixed,Not Fixed
Fixed,2354583,Fixed,The decorative image is not hidden from screen readers,Moderate,1.1 Text Alternatives,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/admin/overview,alt-text-decorative-inappropriate,Open,Admin Overview,,Fixed
Fixed,2354584,Fixed,Role: The element's role is missing or incorrect,Critical,4.1 Compatible,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/admin/overview,aria-role-missing,Open,Admin Overview,,Fixed
Fixed,2354585,Fixed,Text content lacks 4.5:1 contrast ratio,Serious,1.4 Distinguishable,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/admin/overview,contrast-text-4.5-1,Open,Admin Overview,,Fixed
Not Fixed,2354586,Fixed,Visual list is not marked up as list,Serious,1.3 Adaptable,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/admin/overview,semantic-list,Open,Admin Overview,Needs Fix,Not Fixed
Not Fixed,2354587,Fixed,Select or dropdown control missing a visible label,Moderate,3.3 Input Assistance,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/admin/overview,label-is-missing-select,Open,Admin Overview,Design,Not Fixed
Fixed,2354588,Fixed,State: Expand/collapse state of the element is missing or incorrect,Serious,4.1 Compatible,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/admin/overview,state-aria-expanded-missing-incorrect,Open,Admin Overview,,Fixed
Not Fixed,2354589,Fixed,Controls have same name but different actions,Serious,2.4 Navigable,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/admin/overview,buttons-confusing,Open,Admin Overview,Fixed,Not Fixed
Fixed,2354590,Fixed,Controls have same name but different actions,Serious,2.4 Navigable,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/admin/overview,buttons-confusing,Open,Admin Overview,,Fixed
Fixed,2354592,Fixed,Correct reading order of dynamic content not determinable,Serious,1.3 Adaptable,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/admin/overview,new-content-bad-location,Open,Admin Overview,,Fixed
Fixed,2354593,Fixed,Select: Custom select does not have a role and/or state,Critical,4.1 Compatible,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/admin/overview,select-missing-role-state,Open,Admin Overview,,Fixed
Not Fixed,2354594,Fixed,Correct reading order of dynamic content not determinable,Serious,1.3 Adaptable,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/admin/overview,new-content-bad-location,Open,Admin Overview,Fixed,Not Fixed
Fixed,2354595,Fixed,Controls have same name but different actions,Serious,2.4 Navigable,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/admin/overview,buttons-confusing,Open,Admin Overview,,Fixed
Fixed,2354596,Fixed,State of active component lacks 3 to 1 contrast ratio,Serious,1.4 Distinguishable,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/admin/overview,contrast-uic-active-3-1-state,Open,Admin Overview,,Fixed
Not Fixed,2354597,Fixed,State: Expand/collapse state of the element is missing or incorrect,Serious,4.1 Compatible,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/admin/overview,state-aria-expanded-missing-incorrect,Open,Admin Overview,Deque,Not Fixed
Fixed,2354598,Fixed,Correct reading order of dynamic content not determinable,Serious,1.3 Adaptable,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/admin/overview,new-content-bad-location,Open,Admin Overview,,Fixed
Not Fixed,2354601,Fixed,The decorative image is not hidden from screen readers,Moderate,1.1 Text Alternatives,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/admin/overview,alt-text-decorative-inappropriate,Open,Admin Overview,Needs Fix,Not Fixed
Fixed,2354603,Fixed,Role: The element's role is missing or incorrect,Critical,4.1 Compatible,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/admin/overview,aria-role-missing,Open,Admin Overview,,Fixed
Fixed,2354604,Fixed,Button: Button does not have a role,Serious,4.1 Compatible,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/admin/overview,button-missing-role,Open,Admin Overview,,Fixed
